Vincent Vega
Jules Winnfield
Bruce Coolidge 
Mia Wallace
Marsellus Wallace
Jimmie Dimmick
Phil Marvin
Paul Jackson
Lance Stoltz
Chistopher Koons
Winston Wolf
Zed Greene
Maynard Whitaker
Stephen Gimp
Larry Dimmick
Vic Vienna
Chris Cabot
Joe Cabot
Freddy Orange
Marvin Nash
Beatrix Kiddo
Bill Snake
Vernita Green
Elle Snake
Sofie Fatale
Johnny Liu
Hattori Hanzo
Kareen Kim
Larry Mei
Tommy Lapton
King Schultz
Django Fox
Calvin Freeman
Broomhilda Shaft
Spencer Bennett
Billy Speck
Rodney Clay
Fred Charlie
James Garber
John Brittle
James Jonnes
Zoe Jarratt
Samuel Hill
Quentin Michael
Robert Johnson
Jack Brown
Lee Gecko
